path,ContentDescription,QualityPerspective,Keyword,dmos
jp2k/img75.bmp,"A woman wears a red hat, a black - and - white necklace, and smiles in front of pink curtains.","The image has clear details, vivid colors, and sharp focus on the woman’s features and accessories.",Woman,25.03062047966861
jp2k/img77.bmp,"A stone fountain with a water - filled basin, stacked rocks, and a bird is surrounded by green plants and colorful flowers.","The image has high clarity, vivid colors, and clear details of the fountain, water, and plants.",Fountain,25.984026524750178
jp2k/img78.bmp,Several motocross riders on colorful bikes line up at a dirt starting line.,"The image has clear details, vivid colors, and distinct motocross riders and bikes.",Motocross,38.46900882932819
jp2k/img79.bmp,The image displays two brown stuffed dogs and three yellow stuffed bears attached to a decorated board.,"The image has visible stuffed toys, vivid colors and clear decorative details.",StuffedToys,72.09944236071443
jp2k/img80.bmp,"The image shows a large red barn, a small red house, a calm pond, green trees, and tall grass under a cloudy sky.","The image has clear reflections, vivid greenery, and distinct red structures.",Barn,31.491968912059583
jp2k/img81.bmp,People in red vests paddle yellow raft through choppy whitewater.,"The image has clear details, vivid colors, and shows people rafting in turbulent water.",Rafting,48.34116741829985
jp2k/img82.bmp,"The house displays colorful murals, green shutters, and red flowers against a lush mountain backdrop.","The image has clear details, vivid colors, and distinct murals of the house and its scenic background.",House,25.09633165601088
jp2k/img83.bmp,"Five colorful hats (yellow, orange, green, pink, blue) hang on a beige wall against a cloudy sky.","The image has distinct shadows, vibrant hat colors, and a textured wall with a cloudy sky backdrop.",Hats,46.584322447755405
jp2k/img85.bmp,"Two colorful parrots (one green-yellow-blue, one red-blue-green) stand against a blurred green background.","The image displays two parrots with vivid colors, clear feather details, and a softly blurred green background.",Parrots,30.00013497962475
jp2k/img86.bmp,"The image shows a highway with vehicles, tall buildings, and a grassy area with colorful flowers in a cityscape.","The image has a highway, tall buildings, and a grassy area with flowers, with visible vehicles and urban structures.",Cityscape,70.25982518032612
jp2k/img88.bmp,A small sailboat floats on calm turquoise water near a tree - lined shore.,"The image has a sailboat with visible text, calm turquoise water, and a tree - lined shore with clear details.",Sailboat,63.015324512867245
jp2k/img90.bmp,A small weathered boat floats in turquoise water beside an old rusted dock.,"The image has high clarity, vivid turquoise, and clear details of the boat and dock.",boat,25.29582717609144
jp2k/img91.bmp,"The image shows a white lighthouse, white wooden buildings, a white picket fence with a red lifebuoy, and a grassy area under a cloudy sky.","The image has clear details of the lighthouse, buildings, fence, lifebuoy, and grass, with natural color tones and a visible cloudy sky.",Lighthouse,50.96704009742991
jp2k/img92.bmp,A white - painted figure with a golden crown holds a golden sphere and wears white draped cloth.,"The image has clear details, vivid colors, and a well - defined figure.",Figure,42.60054761405774
jp2k/img94.bmp,A person sits on a bucket on a wooden dock by a calm river with a bridge overhead.,"The image has high clarity, natural colors, and clear details of the dock, river, bridge, and the person.",Fishing,38.2549339043671
jp2k/img96.bmp,"Two colorful parrots (one red, one green-yellow-blue) stand against a blurred green background.","The image has vivid colors, clear feather details, and a softly blurred background.",Parrots,39.494391716246966
jp2k/img98.bmp,"The image shows a cemetery gate with signs, a brick pillar, and tombstones amidst green grass and bare trees.","The image has clear details, legible text, and natural colors of grass, brick, and metal.",cemetery,46.73519187599359
jp2k/img99.bmp,"A woman wears a red hat, a beaded necklace, and smiles against a pink background.","The image has clear details, vivid red hat, distinct facial features, and smooth pink background.",Woman,52.00419635496926
jp2k/img101.bmp,Two colorful parrots perch against a blurred green background.,"The image has sharp details, vivid colors, and a softly blurred background.",Parrots,24.2764088097766
jp2k/img102.bmp,A white - painted person with a golden crown and white cloth holds a golden ball.,"The image has clear details, vivid colors, and depicts a figure with white paint, a golden crown, and a golden ball.",statue,21.88262165546857
jp2k/img103.bmp,"A white lighthouse, red - roofed houses, and rocky cliffs stand beside the blue ocean under a partly cloudy sky.","The image has high clarity, vivid colors, and clear details of the lighthouse, buildings, rocks, and ocean.",Lighthouse,24.35211475827056
jp2k/img104.bmp,A woman in a dark dress and white necklaces poses beside a rusty sculpture in a grassy area.,"The image has clear details, natural colors, and depicts a woman, a rusty sculpture, and green plants.",Woman,49.72531306132735
jp2k/img105.bmp,A colorful monarch butterfly rests on tiny pink flowers.,The image features a butterfly with distinct wing patterns and vivid pink flowers with a soft background.,Butterfly,22.28656662518345
jp2k/img106.bmp,"The image depicts a white lighthouse, white buildings, a white picket fence, a red lifebuoy, and green grass under a cloudy sky.","The image has visible details of a white lighthouse, white buildings, a white fence, a red lifebuoy, and green grass with a cloudy sky.",lighthouse,50.87767308591221
jp2k/img107.bmp,"The image shows a small building with a red-and-white facade, green bushes, and leafy trees along a narrow pathway.","The image contains a building with a red-and-white exterior, green shrubs, tall trees, and a pathway, with partial text on the building’s front.",Building,72.58409006589069
jp2k/img108.bmp,"The image displays colorful stuffed animals (two dogs, three bears) hanging on a metal net at a carnival game.","The image has clear details, vivid colors, and a legible carnival game sign with text.",stuffed,47.47269421075874
jp2k/img109.bmp,People sail boats with white numbered sails on wavy blue water.,"The image has clear details, vivid colors, and visible sail numbers.",Sailing,42.0193414153924
jp2k/img111.bmp,"The image depicts a multi - lane highway with moving cars, vibrant wildflowers in the foreground, and modern city buildings in the distance.","The image has clear details, vivid colors, and distinct highway, flower, and cityscape elements.",Highway,28.188842568104352
jp2k/img113.bmp,A vintage silver and yellow airplane with black stripes sits on green grass.,"The image displays a vintage airplane with clear details, vivid colors, and distinct markings.",Airplane,25.90239364449977
jp2k/img114.bmp,"A white lighthouse, red - roofed houses, and rocky cliffs stand by the blue ocean under a partly cloudy sky.","The image has high clarity, vivid colors and clear details of the lighthouse, houses, and rocky shore.",lighthouse,26.102063914116645
jp2k/img115.bmp,Motocross riders in colorful gear ride varied motorcycles at a dirt track starting line.,"The image shows motocross riders, colorful motorcycles, and a dirt track with distinguishable details.",Motocross,63.79745841280577
jp2k/img116.bmp,"A statue - like figure with white skin, a golden crown, and a golden sphere holds the sphere against a stone wall.","The image depicts a figure with white skin, a golden crown, and a golden sphere with clear details and distinct colors.",statue,49.7286281585553
jp2k/img120.bmp,"The image shows a calm sea with a small island, green palm trees, and white clouds in a blue sky.","The image has a calm water surface, a small island with green palm trees, and a blue sky with white clouds.",Island,42.50096821620306
jp2k/img121.bmp,A blurry image shows a person sitting on a wooden dock by a calm river with a concrete bridge in the background.,"The image has low resolution, blurry details, and muted colors.",Dock,73.25236622149215
jp2k/img122.bmp,"Five colorful hats (yellow, orange, green, pink, blue) hang on a beige wall against a cloudy sky.","The image has vivid colors, clear hat details, and a distinguishable sky backdrop.",hats,53.45609932212263
jp2k/img124.bmp,The image shows two brown stuffed dogs and three yellow stuffed bears hanging on a carnival game booth.,"The image has clear details, vivid colors, and depicts stuffed animals on a carnival game booth.",Prizes,49.46765176998484
jp2k/img125.bmp,"The image shows a black metal cemetery gate with signs, a red brick post, and gray tombstones in a grassy cemetery.","The image has clear details, distinct colors, and visible text on the gate, brick post, and tombstones.",cemetery,33.473161094142995
jp2k/img126.bmp,Several people in red life jackets paddle yellow raft through turbulent river.,"The image has high clarity, vivid colors, and clear details of rafters and river.",Rafting,24.6248388210791
jp2k/img127.bmp,"Two colorful parrots (one multicolored, one red) face forward against a blurred green background.",The image features two parrots with vivid colors and a softly blurred green background.,Parrots,63.270890480446255
jp2k/img129.bmp,Several motocross riders in protective gear sit on colorful dirt bikes at a dirt track.,"The image has clear details, vivid colors, and distinct outlines of riders and dirt bikes.",Motocross,27.447221923138954
jp2k/img130.bmp,"Several sailboats with numbered sails race on wavy water, carrying people in colorful jackets.","The image shows sailboats with clear numbers, vivid clothing colors, and detailed water waves.",Sailboats,43.71826643101832
jp2k/img132.bmp,"The image shows a red-and-white building with ""WEIGL"" sign, green shrubs, white flowers, and a stone path under leafy trees.","The image has a red-and-white building, green shrubs, white flowers, a stone path, and leafy trees with clear details.",building,31.5595687109197
jp2k/img133.bmp,Several motocross riders in protective gear sit on colorful dirt bikes at a muddy starting line.,"The image has clear details of riders, colorful bikes, and a muddy track with vivid colors and distinct textures.",Motocross,42.16153847609955
jp2k/img135.bmp,People in red life jackets ride a yellow raft through rough water.,"The image shows a yellow raft, people in red life jackets, turbulent water, and legible text on the raft.",Rafting,69.3198883772806
jp2k/img136.bmp,"A small sailboat named ""RENTIME"" floats on turquoise water near a tree - lined shore.","The image has clear details, vivid turquoise water, and a distinct sailboat with visible text.",Sailboat,38.49937916871746
jp2k/img137.bmp,"The image shows a white lighthouse, red - roofed houses, and rocky shore by blue ocean under a clear sky.","The image has clear structures, rocky landscape, ocean water, and a bright sky.",lighthouse,54.482323340813736
jp2k/img138.bmp,Several sailboats with colorful sails navigate the wavy water under a cloudy sky.,"The image has colorful sails, detailed sailboats, and a textured sea surface.",Sailboats,51.98430097914189
jp2k/img141.bmp,People sail colorful sailboats on the water under a cloudy sky.,"The image has clear details, vivid sail colors, and distinct water textures.",Sailing,21.787298417648117
jp2k/img142.bmp,"A bronze statue of a man sits on a wooden bench and reads a book, with green plants and a brick wall behind.","The image has clear details, natural colors, and distinct textures of the statue, bench, and surroundings.",Statue,44.62558143068395
jp2k/img143.bmp,"A person in light clothing sits on a white bucket on a wooden dock by a rippled river, with a bridge carrying cars in the background.","The image has clear details, natural colors, and distinguishable elements including a person, dock, river, and bridge.",fishing,45.09684469895228
jp2k/img144.bmp,"The image shows a red barn reflected in a pond, with green grass, trees, and a cloudy sky.","The image has soft focus, natural colors, and discernible reflections of the barn in the pond.",Barn,57.47745564091386
jp2k/img146.bmp,A group of people in red life jackets paddles a yellow raft on turbulent whitewater.,"The image has clear details of the raft, people, and water, vivid colors of the yellow raft and red life jackets, and visible turbulent whitewater.",Rafting,51.928846132839226
jp2k/img148.bmp,Two brown stuffed dogs and three yellow stuffed bears hang on a net at a carnival game.,"The image has clear details, vivid colors, and distinct textures.",Prizes,24.89895706986431
jp2k/img149.bmp,"The image depicts a white lighthouse, white houses, a white fence, a red lifebuoy, and grass under a cloudy sky.","The image has clear details, natural colors, and a well - defined lighthouse, buildings, fence, and sky.",Lighthouse,38.06964086512967
jp2k/img150.bmp,A woman in a dark dress and pearl necklaces stands beside a rusty metal sculpture in a grassy area.,"The image has clear details, vivid colors, and distinct textures of the woman, sculpture, and foliage.",Woman,21.41886534304765
jp2k/img152.bmp,"A woman in a dark dress and white beaded necklaces stands beside a rusty metal sculpture in a grassy, leafy area.","The image shows a woman, a rusty sculpture, green plants, and grass with recognizable details and natural colors.",Woman,55.90459914407012
jp2k/img154.bmp,Several sailboats with white sails and people sail on choppy water.,"The image has visible sail numbers, distinct clothing colors, and choppy water textures.",Sailboats,59.44196571611291
jp2k/img155.bmp,A woman in a dark dress and white necklaces stands near a large rock in a grassy outdoor area.,"The image shows a woman in a dark dress, white necklaces, a large rock, and grassy surroundings with distinguishable elements.",Woman,67.19668334150376
jp2k/img156.bmp,The image shows a row of colorful traditional buildings with varied facades and a hilly tree - covered backdrop.,"The image has noticeable pixelation, faded colors and somewhat blurry architectural details.",Buildings,61.18215742040482
jp2k/img158.bmp,Two colorful parrots stand against a blurred green background.,"The image displays two parrots with vivid colors, distinct facial patterns, and a blurred green backdrop.",Parrots,55.776435118466885
jp2k/img160.bmp,A monarch butterfly rests on pink flowers.,The image has a butterfly with visible wing patterns and pink floral details.,Butterfly,53.41030485608058
jp2k/img162.bmp,"A figure with white-painted skin, a golden floral crown, and white draped cloth holds a golden sphere.","The image has clear details, vivid colors, and visible textures of cloth and gold.",figure,25.547908094700823
jp2k/img163.bmp,"The image shows a red-and-white building with a ""WEIGL WKS"" sign, green bushes, white flowers, and trees along a paved pathway.","The image has visible text, distinct vegetation, and a clear building structure with natural lighting.",WeigelWks,48.07274559690462
jp2k/img164.bmp,"The image shows a white lighthouse, red - roofed houses, and a rocky coast by the blue ocean.","The image has clear details, vivid colors, and a sharp view of the lighthouse, buildings, and rocky shoreline.",lighthouse,34.31882592035392
jp2k/img165.bmp,Women in colorful dresses dance on a white stage with festive banners during a Cinco de Mayo celebration.,"The image has clear details, vivid colors, and distinct elements including dancers, a stage, banners, grass, and cars.",Celebration,36.803691247540776
jp2k/img167.bmp,"The image depicts a multi - lane highway with moving cars, colorful wildflowers in the foreground, and distant city buildings.","The image has clear details, vivid floral colors, and distinct urban and natural elements.",Highway,50.12810440234088
jp2k/img168.bmp,"A stone fountain holds water, surrounded by green plants and colorful flowers.","The image has clear details, vivid colors, and shows the fountain and plants distinctly.",fountain,50.22230359576317
jp2k/img169.bmp,A white statue holds a golden sphere and wears a golden crown.,"The image has visible details, white and golden colors, and distinct features.",Statue,55.98522773495745
jp2k/img170.bmp,Dancers in colorful dresses perform on a white stage decorated for a Cinco de Mayo celebration.,"The image has clear details, vivid colors, and depicts a lively outdoor Cinco de Mayo celebration scene.",Celebration,48.3046809702197
jp2k/img171.bmp,"A bronze statue of a man sits on a wooden bench, reading a book, with two books beside him, near green shrubs and a brick wall.","The image depicts a bronze statue, a wooden bench, two books, green shrubs, a brick wall, and dry leaves with clear details and natural colors.",statue,31.38706428829333
jp2k/img172.bmp,A small white boat with red accents floats near a brown wooden pier in turquoise water.,"The image has low clarity, muted colors and recognizable details of a boat and pier.",Boat,69.37405446814955
jp2k/img173.bmp,"A vintage airplane with yellow nose, black propeller, and ""Sly Shooters"" text sits on grassy field.","The image displays a vintage airplane with clear details, vivid colors, and legible text on grassy terrain.",airplane,30.06590643346212
jp2k/img174.bmp,"The image shows a white lighthouse, white houses, a white picket fence, a red lifebuoy, and a black binocular viewer on grass under a cloudy sky.","The image has a white lighthouse, white houses, a white picket fence, a red lifebuoy, a black binocular viewer, green grass, and a blue sky with white clouds, clear details, and vivid colors.",lighthouse,23.04535862055152
jp2k/img175.bmp,The image shows a rocky stream flowing through a green valley with snow - capped mountains.,"The image has pixelated details, natural color tones and a scene of a stream, greenery and mountains.",landscape,69.62940064841362
jp2k/img176.bmp,"The image depicts a city scene with a white - domed classical building, a pink - domed capitol building, green trees, and paved roads.","The image has distinct architectural details, visible greenery, and clear urban elements.",Capitol,34.74736400054396
jp2k/img177.bmp,"The image shows a small stone fountain with water, colorful fish and lush green plants.","The image contains a stone fountain, water with fish, and green plants with identifiable features.",fountain,66.28179452865399
jp2k/img178.bmp,"The image shows a cemetery gate with signs, a brick post, and tombstones in a grassy area with trees.","The image has clear text on signs, distinct tombstones, and visible grassy and tree - filled surroundings.",Cemetery,52.61692321433424
jp2k/img179.bmp,A red barn stands beside a calm pond with green trees and grass around it.,"The image has a red barn, a reflective pond, green vegetation, and a cloudy sky with gentle lighting.",Barn,69.50160619570946
jp2k/img181.bmp,"The image shows five colorful stuffed toys (two brown dogs, three yellow bears) with hats and clothes placed on a metal rack.","The image has visible stuffed toys, vibrant clothing colors, and a metal rack structure against a light background.",stuffed,69.97832580415569
jp2k/img182.bmp,"A garden fountain with stacked stones holds clear water, surrounded by green plants and colorful flowers.","The image has clear water reflections, vivid plant colors, and distinct stone details.",Fountain,42.460379670553536
jp2k/img183.bmp,People sail on several sailboats with numbered sails across a wavy ocean.,"The image has clear details, vivid colors, and sharp contrast of sailboats, people, and water.",Sailing,22.27981853312796
jp2k/img185.bmp,People sail colorful sailboats on the water under a cloudy sky.,"The image has clear details, vivid colors, and sharp depictions of boats, people, and water.",Sailing,27.201954422013888
jp2k/img187.bmp,"The image depicts a large red barn, a small red shed, a still pond, green trees, and tall grass under a cloudy sky.","The image has a large red barn, a small red shed, a reflective pond, green trees, and tall grass beneath a cloudy sky.",barn,36.14531005261188
jp2k/img191.bmp,"A woman with blonde hair wears a red hat, a red scarf, and a black - and - white beaded necklace.","The image has blurry details, low resolution, and muted colors.",Woman,65.33538560268595
jp2k/img192.bmp,"The image shows a busy highway with moving cars, vibrant flowers in the foreground, and tall city buildings in the background.","The image has clear details, vivid colors, and distinguishable highway, floral, and urban elements.",Landscape,40.20353483462272
jp2k/img193.bmp,"Five colorful hats (yellow, orange, green, red, blue) hang on a beige wall against a cloudy sky.","The image displays colorful hats, distinct shadows, a beige wall, and a cloudy sky with discernible details.",hats,56.81506839122303
jp2k/img194.bmp,"The image shows two domed buildings (one with columns), green trees, and a blue sky with clouds.","The image has visible architectural details, green foliage, blue sky, and distinguishable building structures.",Buildings,61.33228069176607
jp2k/img195.bmp,"A woman wears a red hat, a black - and - white necklace, and smiles in front of pink fabric.","The image has clear details, vivid colors, and sharp facial features.",Woman,21.30512297950809
jp2k/img196.bmp,"The image shows a picturesque house with murals, a red roof, green shutters, and a balcony, surrounded by trees and mountains.","The image has clear details of the house’s murals, roof, shutters, and the surrounding trees and mountains, with natural colors.",House,55.88732005422921
jp2k/img197.bmp,Two colorful parrots stand against a blurred green background.,"The image has vivid colors, clear details of the parrots, and a blurred green background.",Parrots,45.89200996411086
jp2k/img198.bmp,"The image shows a grand domed building and a classical columned building, surrounded by green trees, paved roads, and smaller structures, under a blue sky with white clouds.","The image has high clarity, vivid colors, and clear details of architectural structures, trees, roads, and sky.",Capitol,23.93855287245099
jp2k/img199.bmp,"The image shows a row of colorful, historic European buildings with steep roofs and ornate facades, set against a hilly, tree-lined backdrop.","The image has high clarity, vivid colors, and sharp architectural details, with well - defined building textures and a detailed background.",Buildings,21.07955183545881
jp2k/img200.bmp,A person sits on a wooden dock by a rippled river with a concrete bridge in the distance.,"The image has low resolution, subdued colors and clear outlines of a person, dock, river and bridge.",Dock,59.30217260837462
jp2k/img201.bmp,"The image depicts a blurry cityscape with a road, green plants, and tall buildings.","The image has blurry details, green vegetation, and distant urban structures.",cityscape,73.02643347532211
