image,content1,content2,content3,mos_quality
AttnGAN_normal_114.jpg,"A figure stands in a dark, forested area with tall trees.","The image has soft edges, muted colors, and indistinct details.",Figure,1.038703499
sd1.5_lowcorr_293.jpg,A robot with orange eyes and blue face stands against a patterned background.,"The image has vibrant colors, distinct lines, and clear robot details.",Robot,2.508658847
sd1.5_lowcorr_125.jpg,A plush giraffe stands against a brown backdrop.,"The image displays clear details, soft colors, and a well-defined subject.",Giraffe,3.033265998
sd1.5_highcorr_099.jpg,A framed image shows a human head with a detailed brain.,"The image has sharp details, rich colors and a golden frame.",brainportrait,3.316649193
sd1.5_lowstep_285.jpg,"The image shows an anime-style girl with long purple and black braids, a black necklace, and dark shapes behind her.","The image has distinct lines, bold colors, and clear character details.",Character,2.309898917
sd1.5_normal_091.jpg,A metallic UFO floats in a starry sky next to a glowing planet.,"The image displays sharp details, vibrant colors and clear celestial objects.",UFO,2.423784221
DALLE2_normal_205.jpg,Three men in traditional Japanese robes face each other with weapons.,"The image has vivid colors, distinct character outlines and clear details.",Samurai,1.8940894
AttnGAN_normal_156.jpg,The image shows a dim indoor space with blue walls and small objects.,"The image has low brightness, muted colors, and indistinct details.",interior,1.977251303
sd1.5_lowcorr_015.jpg,Santa Claus holds a small object against a green background with red decorative balls.,"The image has bright colors, clear outlines and distinct decorative elements.",Santa,2.251322245
glide_normal_176.jpg,The image shows a cat’s face with red and pink colors.,"The image has dark tones, bright pink highlights, and visible facial details.",Cat,1.435991833
sd1.5_lowstep_181.jpg,Small black fish swim among colorful coral formations.,"The image displays detailed coral patterns, bright colors, and visible small fish.",Coralreef,2.161765422
midjourney_normal_122.jpg,The image shows a fierce demonic creature with big horns and red tentacles.,"The image has bright colors, sharp lines, and distinct details.",Demon.,3.387909038
AttnGAN_normal_015.jpg,Blurry objects rest on a flat surface.,"The image has low clarity, faint details, and muted colors.",objects,0.91586726
midjourney_lowstep_203.jpg,The image shows a sleek gray building with vertical lines in a forest.,"The image has soft focus, muted colors, and distinct vertical architectural elements.",Architecture.,2.493724965
sd1.5_lowcorr_161.jpg,A fluffy rabbit looks directly at the camera.,"The image shows clear fur texture, bright eyes, and a smooth background.",Rabbit,2.776694622
sd1.5_highcorr_061.jpg,A muscular black symbiote with yellow patterns crouches on a yellow scaled background.,"The image has distinct colors, sharp outlines, and clear textured details.",Symbiote,2.774693831
glide_normal_226.jpg,A brown spiky structure rests among green leafy foliage.,The image displays visible textures and distinct green and brown colors.,Foliage,0.630028469
sd1.5_lowstep_063.jpg,A small wooden house stands in a golden grass field under a red sky.,"The image has a wooden house, tall grass, and a red sky with vivid colors.",House,3.333743653
sd1.5_highcorr_209.jpg,"Two characters wear colorful gowns and stand near a tall, ornate castle.","The image has vivid colors, clear character details, and a detailed castle background.",Disneyland,2.082442662
glide_normal_273.jpg,The stained glass window features colorful designs.,"The image presents bright colors, clear lines, and diverse shapes.",Stainedglass,1.063255848
midjourney_normal_113.jpg,The painting shows a colorful abstract landscape with figures and buildings.,"The image has vivid colors, dynamic forms, and distinct details.",Abstract,3.401488261
AttnGAN_normal_210.jpg,The image displays stylized faces and dark tree-like elements.,"The image has a textured appearance, muted tones, and distinct stylized shapes.",Surreal,0.995940844
sd1.5_normal_186.jpg,The painting depicts a girl with red hair and blue eyes.,The image shows smooth brush strokes and distinct color tones.,Girl,1.916425889
sd1.5_lowcorr_045.jpg,Two Superman characters touch hands in an ornate indoor setting.,"The image has bright colors, clear lines and noticeable background elements.",Superman,2.520123245
xl2.2_normal_263.jpg,A cute bear sleeps in a crescent moon inside a bubble.,"The image has soft colors, clear outlines, and cute details.",SleepingBear,3.317504837
sd1.5_lowstep_068.jpg,The painting displays a central white figure surrounded by swirling green and purple colors.,"The painting has vivid colors, distinct patterns and visible textures.",Abstract,2.318310369
sd1.5_lowcorr_194.jpg,The image depicts several orange and translucent jellyfish against a blue background.,"The image has distinct jellyfish shapes, smooth color gradients, and fine tentacle details.",jellyfish,2.746509754
AttnGAN_normal_148.jpg,Dark robotic figures stand in front of a colorful abstract building.,"The image has distinct shapes, bold colors and visible textures.",Robots,0.749492217
sd1.5_normal_165.jpg,A pair of hands holds a red and green apple with a small leaf.,"The image has clear details, vivid colors, and sharp focus.",Apple,1.727765593
midjourney_normal_270.jpg,An old sailing ship sails through rough ocean waves.,"The image has clear lines, detailed textures, and vivid color contrasts.",Galleon,3.757702826
xl2.2_normal_079.jpg,A decorative dagger lies on an ornate patterned background.,"The image displays detailed patterns, rich colors and clear textures.",Dagger,3.307841757
AttnGAN_normal_012.jpg,A small wooden stool rests in front of a mossy stone wall.,"The image has clear moss textures, distinct stone patterns, and visible details of the wooden stool.",Mosswall,1.337589887
sd1.5_normal_038.jpg,Three people in Santa hats sit around a decorated Christmas table.,"The image has vivid festive colors, clear table decorations and visible Christmas trees.",Christmas,2.523592728
sd1.5_highcorr_148.jpg,A deer with antlers looks forward.,The image has vivid colors and clear details of the deer.,Deer,3.510122043
midjourney_normal_078.jpg,The embroidery features a decorative tree with colorful leaves and roots.,"The image displays an embroidery with fine stitching, diverse colors, and distinct elements.",Embroidery,3.344956193
sd1.5_lowstep_168.jpg,The image depicts a magical forest with glowing green light and two figures.,"The image has soft lighting, vivid colors, and intricate details.",EnchantedForest,3.359435142
sd1.5_highcorr_162.jpg,The image shows a spacious workshop with various tools and equipment.,"The image has clear details, bright lighting and distinct floor markings.",Workshop,3.359435142
sd1.5_highcorr_189.jpg,A human torso has a red lobster head with a golden band.,"The image has vivid colors, clear textures and distinct details.",hybrid,2.660597966
midjourney_lowstep_205.jpg,"A blonde anime character stands in a smoky, fiery environment with blurred figures.","The image has warm colors, soft focus, and a hazy background.",AnimeCharacter,2.368763526
AttnGAN_normal_157.jpg,A distorted figure has a pale face and messy hair.,"The image has blurry edges, muted tones, and distorted features.",distortion,1.075006252
sd1.5_normal_037.jpg,"The image depicts a female character with red and black hair, horned headgear, and red facial markings.","The image has vivid colors, clear details, and sharp lines.",Demoness,2.883906185
xl2.2_normal_019.jpg,A man sits at a table with a bowl of food.,"The image has bold lines, distinct colors, and clear character details.",man,3.369254363
midjourney_normal_201.jpg,A rainbow-colored bear plays an electric guitar.,"The image has vivid colors, clear subject details and a dark background.",Bear.,3.863181835
sd1.5_highcorr_100.jpg,Two anime girls stand in a vibrant garden with colorful flowers.,"The image displays bright colors, distinct characters, and detailed garden elements.",Garden,2.410204999
sd1.5_lowstep_119.jpg,The image shows blurry shapes with warm colors.,The image has indistinct details and soft edges.,blur,0.45479692
midjourney_normal_024.jpg,A woman in a blue dress sits with open hands surrounded by birds and flowers.,"The image has vivid colors, detailed figures and a bright golden halo.",Goddess,4.255753145
glide_normal_209.jpg,A red creature has glowing blue eyes.,"The image has dark background, red tones, and bright blue eyes.",Creature,1.000336846
sd1.5_normal_030.jpg,The circular logo features red and green fruit illustrations and white text.,"The image has distinct colors, clear lines, and legible text elements.",Logo,2.736106345
midjourney_normal_037.jpg,The image shows a woman with glowing red eyes and a dark spiky crown.,"The image has sharp details, vivid red accents, and smooth shading.",Demoness,4.305784597
glide_normal_026.jpg,A faint blueish crescent moon hangs in a dark sky.,The image has a blueish crescent with soft edges and a black background.,Crescent,0.746460866
sd1.5_highcorr_183.jpg,The image shows a green mushroom cloud in a circle surrounded by detailed patterns.,"The image has vibrant green color, clear central shape, and intricate surrounding textures.",Mushroomcloud,2.746509754
sd1.5_lowcorr_286.jpg,The image shows a rugged rocky landscape with a small path.,"The image has distinct rock textures, warm earthy tones and soft atmospheric lighting.",Landscape,3.822840391
sd1.5_normal_228.jpg,A small orange-and-white kitten with large ears stands on a brown surface.,"The image shows soft colors, clear fur texture, and prominent large ears.",kitten,2.687865421
sd1.5_highcorr_068.jpg,The image displays a central abstract figure with glowing green eyes and swirling colorful shapes.,"The image has vivid colors, distinct shapes, and clear glowing details.",Surreal,2.938008313
sd1.5_normal_131.jpg,A fluffy panda cub holds green bamboo stalks.,"The image has vivid colors, clear details and soft fur texture.",Pandacub,3.718303223
xl2.2_normal_217.jpg,A woman’s face and neck display detailed red muscles against a blurred blue background.,"The image has sharp facial details, vivid red muscles, and a soft blurred background.",Anatomy,3.658936789
midjourney_lowstep_066.jpg,A round brown food item rests on a light plate.,"The image has soft focus, warm colors, and a blurred background.",Pizza,1.76550155
sd1.5_highcorr_138.jpg,"The image shows a serene landscape with tall trees, misty mountains, and a calm lake.","The image has soft lighting, misty mountains, and a reflective lake surface.",Landscape,3.265755311
midjourney_lowstep_093.jpg,A middle-aged man in a red shirt holds a red item close to his smiling mouth.,"The image presents vibrant red hues, clear facial details, and a blurred warm background.",Portrait,3.116981428
sd1.5_lowstep_228.jpg,A cute kitten with blue eyes peeks over a brown surface.,"The image has soft fur details, bright blue eyes, and warm color tones.",Kitten,3.059933495
xl2.2_normal_106.jpg,"The image features a curved futuristic structure, snow-capped mountains, and tall trees.","The image has vivid colors, clear details, and sharp mountain outlines.",Futurism,3.906607461
AttnGAN_normal_071.jpg,The image shows abstract shapes with bright yellow and dark brown colors.,"The image has blurred edges, vibrant yellow sections, and dark brown abstract forms.",Abstract,0.578348419
AttnGAN_normal_151.jpg,"The image shows a dark, rocky area with debris.","The image has low brightness, muted colors, and indistinct details.",debris,1.147337281
xl2.2_normal_050.jpg,A man stands on a cliff beneath a large moon with stars and clouds.,"The image has clear silhouettes, smooth gradients and distinct shapes.",Moonlit,3.210551263
sd1.5_lowcorr_236.jpg,A woman with short red hair wears a gray outfit against a gray wall.,"The image has clear details, natural colors, and sharp focus.",Woman.,3.25960126
midjourney_normal_245.jpg,A woman wears an orange outfit and a fox hat.,"The image has clear details, warm tones and a textured background.",Woman,3.643633817
sd1.5_normal_019.jpg,A cartoon man with brown hair eats food at a table.,"The image has vivid colors, clear character details and visible food textures.",CartoonEating,2.179358212
sd1.5_highcorr_139.jpg,The lake reflects the colorful sky and dark trees.,"The image has soft colors, clear reflections, and a serene view.",Sunset,1.678769845
glide_normal_172.jpg,Glowing orange lines form a car shape against a black background.,"The image has glowing lines, a black background, and a visible car outline.",Car,0.392090064
midjourney_lowstep_267.jpg,A woman with long red hair wears a blue shirt and sits against an orange background.,"The image has warm orange tones, soft outlines, and a detailed female character.",Character,2.776694622
DALLE2_normal_124.jpg,A female athlete holds a red pole during pole vault.,"The image shows clear details, bright colors, and sharp focus.",Polevault,2.541261946
sd1.5_lowcorr_175.jpg,The poster depicts a weird creature with red eyes and a bulbous head.,The image presents a framed poster with vivid colors and clear details.,Creature,2.646335983
DALLE2_normal_202.jpg,A blue raspberry-shaped object is displayed.,The image shows a shiny blue object with smooth surfaces and distinct details.,raspberry,2.459590343
sd1.5_highcorr_249.jpg,A fantasy elf woman wears detailed silver armor.,"The image shows sharp details, shiny textures, and clear facial features.",Elf,3.662501677
midjourney_lowstep_131.jpg,A fluffy red panda cub stares at the viewer.,"The image has soft lighting, warm tones and distinct facial features.",redpanda,2.980532355
midjourney_normal_200.jpg,The image depicts a surreal landscape with giant mushrooms and a small stream.,"The image has vibrant colors, clear mushroom details, and a calm river.",Mushroomscape.,3.455503573
sd1.5_highcorr_267.jpg,A woman holds golden shields amidst scattered golden coins.,"The image displays a woman with distinct features, vivid golden colors, and sharp background details.",Valkyrie,3.129903806
sd1.5_lowcorr_085.jpg,Three yellow Minions stand around a wooden table in a room.,"The image has distinct Minion characters, bright colors, and clear background details.",Minions,2.912021026
sd1.5_normal_027.jpg,A green ocean wave breaks with white spray.,"The image has vivid green waves, white foam and a dark sky.",Wave,1.678769845
sd1.5_highcorr_120.jpg,A red lips illustration appears on a brown surface.,"The image has clear lines, vibrant red color, and smooth background.",Lips,2.135311817
midjourney_normal_195.jpg,A pink-armored archer holds a bow in front of a pink circular background.,"The image has bright colors, sharp lines, and clear character details.",Archer,3.576593619
xl2.2_normal_229.jpg,A woman with red hair has blood on her mouth and neck.,"The image has sharp details, vivid red colors, and clear facial features.",Vampire,3.833164995
AttnGAN_normal_273.jpg,The image displays abstract forms with bright colors.,"The image contains varied colors, distinct shapes and abstract elements.",Abstract,0.731526985
AttnGAN_normal_126.jpg,The image shows dense green trees and patches of blue sky.,"The image has textured details, varied green shades, and visible brushstrokes.",Forest.,1.567824332
sd1.5_lowcorr_053.jpg,The drawing depicts a colorful castle against a blue sky on a wooden surface.,The image has clear details of the castle drawing and the surrounding objects.,Castle,3.307841757
midjourney_normal_222.jpg,"The image shows a long, glowing pathway surrounded by blue, swirling patterns.","The image has clear details, vivid blue tones, and bright glowing lines.",FuturisticPathway,3.024480393
midjourney_lowstep_067.jpg,A woman holds a newspaper.,"The image has soft colors, clear outlines and visible details.",Woman.,2.966953132
sd1.5_normal_203.jpg,"The image displays a symmetrical, monochrome architectural facade.","The image has sharp lines, distinct sections, and clear symmetrical details.",Facade,1.777662735
sd1.5_lowcorr_058.jpg,A bearded man walks in a distinctive feathered outfit.,"The image has clear details of the outfit, natural colors, and visible textures.",Costume,2.888789697
sd1.5_normal_299.jpg,A cute baby giraffe faces the camera.,"The image shows a baby giraffe with clear fur texture, distinct spots and bright eyes.",giraffe,2.517978134
DALLE2_normal_256.jpg,A person wears an elaborate costume with large horns.,"The image has soft lighting, dark tones and distinct costume details.",Costume,2.328729662
midjourney_lowstep_128.jpg,A woman wears a decorative headdress and traditional clothing.,"The image has soft lighting, muted colors, and a blurred background.",Traditional,2.243369394
sd1.5_highcorr_184.jpg,The image displays a robotic emblem with text.,"The image features clear elements, vibrant colors and defined details.",RoboticEmblem,3.62187092
sd1.5_lowcorr_117.jpg,A woman wears a gray hooded cloth.,"The image has clear facial details, distinct fabric textures and monochromatic tones.",Hooded,3.576593619
sd1.5_lowstep_164.jpg,A small pink pig holds a butter knife.,"The image has sharp details, soft lighting and realistic fur.",Pig,3.031344688
sd1.5_lowstep_046.jpg,The image shows a game card with an underwater illustration and printed text.,The image presents a card with partially legible text and a soft-focus drawing.,Card,2.532240117
AttnGAN_normal_155.jpg,Fluffy light-colored animals lie on a white textured surface.,"The image has soft textures, muted tones, and visible animal outlines.",Animals,0.720968251
sd1.5_highcorr_229.jpg,A blood-soaked woman holds dark weapons.,"The image shows sharp details, vivid red blood, and clear skin textures.",Survivor,3.365299544
sd1.5_lowcorr_103.jpg,Three rough rocks form a balanced stack.,"The image has soft lighting, clear rock textures, and a smooth background.",RockStack,3.257944615
sd1.5_normal_001.jpg,The image displays colorful sushi rolls and pieces.,The image has clear sushi details and vibrant colors.,Sushi,3.516316957
AttnGAN_normal_223.jpg,The image shows layered rock formations with sandy areas.,The image displays visible layers and textured surfaces.,Layered,0.779719895
sd1.5_normal_033.jpg,Pope Francis wears white robes and holds a cross pendant.,"The image displays clear facial features, soft colors, and sharp details of the subject.",Pope,3.389757837
sd1.5_lowcorr_244.jpg,A woman wears a delicate crown and a lace dress.,"The image has soft tones, visible lace patterns and a distinct crown.",Lady,1.659854513
midjourney_normal_018.jpg,A bearded man yells at a printer.,The image shows clear details of a man and a printer.,Frustration.,3.887128521
sd1.5_highcorr_275.jpg,A multicolored dog shows its tongue while looking left.,"The image has vivid colors, sharp fur details, and bright eyes.",Dog,3.494295005
AttnGAN_normal_180.jpg,The image shows a distorted human figure with soft colors.,"The image has blurred details, distorted shapes and warm tones.",Figure,0.885277112
sd1.5_normal_151.jpg,The image shows a modern boutique interior with colorful displays and glossy floors.,"The image has clear details, vivid colors and bright lighting.",boutique,3.127756575
sd1.5_normal_073.jpg,The image shows a stylized otter's face with white whiskers.,"The image has smooth lines, distinct colors, and clear whisker details.",Otter,2.517978134
sd1.5_normal_008.jpg,Two Joe Biden look-alikes show smiles.,The image displays clear facial details and vivid red background.,Biden,3.162256259
sd1.5_lowcorr_273.jpg,The image shows a colorful indoor area with a central metallic pillar and textured ceiling.,"The image features vivid colors, noticeable textures and distinct architectural details.",ArtisticInterior,3.046278569
sd1.5_normal_273.jpg,The tunnel features colorful curved walls and a bright distant exit.,"The image displays vivid colors, distinct structural details and smooth light transitions.",ColorfulTunnel,3.202553327
midjourney_normal_283.jpg,A small white owl figurine sits inside a clear glass bottle with golden details.,"The image has clear details of the owl and bottle, warm color tones and soft lighting.",BottledOwl,3.790180796
DALLE2_normal_127.jpg,Robotic arms assemble metal frames in a modern factory.,"The image has clear details, vivid colors, and distinct robotic components.",Automation.,3.091620808
AttnGAN_normal_218.jpg,The image contains abstract figures and colorful elements.,"The image features vivid colors, clear shapes, and noticeable details.",Abstract,0.970807385
sd1.5_normal_178.jpg,A painted hand presses a computer mouse.,"The image has vibrant colors, clear outlines and noticeable details.",Pressing,2.018808722
midjourney_normal_226.jpg,The image shows a mechanical heart with a glowing blue core.,"The image has high clarity, vibrant blue colors, and clear mechanical details.",cyberheart,3.657064334
sd1.5_lowstep_087.jpg,The image shows a woman’s side-profile with long dark hair.,"The image has soft tones, smooth textures, and a muted background.",Portrait.,2.195092561
sd1.5_lowstep_045.jpg,The comic panel shows two Superman-like characters standing side by side and close-up shots of their faces below.,"The comic image has bold lines, vivid colors, and clear facial details.",Superman,2.418144251
midjourney_lowstep_137.jpg,A fluffy white monkey shows its head in a close-up shot.,"The image has visible fur texture, distinct dark facial features, and clear white fur.",Monkey,1.541134741
xl2.2_normal_145.jpg,A red octopus rests on a yellow rock underwater.,"The image has vivid colors, clear shapes and detailed textures.",Octopus,3.61615084
AttnGAN_normal_137.jpg,A brown dental appliance sits inside a white container.,The image presents the dental appliance with visible details and a light background.,Denture,0.943982102
sd1.5_highcorr_203.jpg,The image depicts gray concrete buildings with geometric shapes under a pale sky.,"The image displays detailed textures, sharp edges, and even lighting.",Concrete,2.988623579
glide_normal_211.jpg,The image shows eight white rectangles on a black background.,"The image has clear shapes, distinct contrast and uniform colors.",Rectangles,1.305709562
glide_normal_287.jpg,A brown lizard rests against a dark background.,"The image displays warm colors, visible patterns, and a dark backdrop.",Lizard,1.316523163
sd1.5_lowstep_052.jpg,A muscular monster stands on green grass.,"The image has smooth textures, muted colors, and distinct character features.",Monster,2.867071995
midjourney_normal_177.jpg,The image shows a detailed wooden fox sculpture.,"The image has clear details, visible texture, and warm wood tones.",Foxsculpture,3.701722739
midjourney_lowstep_254.jpg,A woman has flowing purple and blue hair and looks forward.,"The image shows soft lighting, blended colors, and a detailed facial appearance.",Woman,2.886258786
midjourney_lowstep_095.jpg,"The image shows a large moon, small moons, stars, and wavy blue clouds in a dark sky.","The image has soft colors, smooth lines, and clear details of celestial bodies and clouds.",Nightscape,3.074195478
sd1.5_highcorr_228.jpg,A small kitten with bright blue eyes stares at the camera.,"The image has sharp focus on the kitten’s eyes, vivid colors and clear facial details.",Kitten,2.583328253
sd1.5_lowcorr_051.jpg,The building has many green plants and flowers.,"The image shows clear details of plants, vivid green colors and bright lighting.",verticalgarden,3.630412823
midjourney_normal_125.jpg,A toy giraffe stands on a wooden surface.,"The image has a clear subject, soft background and natural lighting.",Giraffe,3.806813177
sd1.5_normal_123.jpg,A brown animal stands against a gray background.,"The image has clear lines, distinct colors, and detailed fur.",marten,2.74826005
AttnGAN_normal_240.jpg,The image shows a person’s back with red textured panels and a small red petal.,"The image has soft focus, muted colors, and visible textures.",back,0.902526954
midjourney_lowstep_039.jpg,The image shows a blue-skinned woman with curly hair.,"The image has soft lighting, smooth textures, and vibrant colors.",Woman,2.644930029
DALLE2_normal_050.jpg,"The image shows a logo with an orange circle and white text ""MOMON"".","The image has clear text, vivid color contrast and sharp graphic elements.",Logo,2.825502717
sd1.5_highcorr_125.jpg,Two plush giraffes sit on a white table.,"The image has clear details, vivid colors and distinct shapes of the giraffes.",plushgiraffes,3.135881857
sd1.5_normal_283.jpg,A pocket watch displays a colorful owl illustration.,"The image has clear details, vibrant colors, and sharp focus.",OwlWatch,3.333743653
midjourney_normal_249.jpg,A woman wears detailed silver armor.,"The image displays sharp details, rich textures and natural lighting.",ArmoredWoman,4.303705695
AttnGAN_normal_011.jpg,"The image features vibrant, multicolored patches on a smooth surface.","The image has soft focus, bright colors, and irregular patterns.",Abstract,1.373098268
sd1.5_highcorr_035.jpg,A small wooden canoe rests on a textured surface.,"The image features distinct lines, clear textures and detailed strokes.",Canoe,2.526119865
sd1.5_lowstep_111.jpg,A white bowl holds creamy potato salad with mixed chunks.,"The image has clear details, vivid colors and distinct textures.",Potatosalad,2.523592728
sd1.5_normal_164.jpg,A pig holds a plate with a spoon and a small dish.,"The image has distinct details, warm tones, and smooth textures.",Pig,3.080710077
glide_normal_240.jpg,A stained glass lamp features dark frames and colorful glass panels.,The image displays a stained glass object with visible colored sections.,stainedglasslamp,0.920325251
glide_normal_069.jpg,The cat stares at the camera with big eyes.,"The image has dark lighting, visible facial features and muted colors.",Cat,1.785560751
AttnGAN_normal_119.jpg,A fluffy gray cat rests on a tiled floor near another cat's striped tail.,"The image has blurry details, muted colors, and indistinct outlines.",Cats,1.297636099
AttnGAN_normal_211.jpg,The image shows a dim room with a bed and chairs.,"The image has low clarity, muted colors and indistinct details.",bedroom,0.807856712
sd1.5_highcorr_055.jpg,A yellow striped fish rests on the rocky seabed with small colorful fish around.,"The image shows clear fish patterns, vibrant colors, and distinct underwater elements.",ColorfulUnderwaterFish,3.39100366
sd1.5_lowstep_252.jpg,A person holds a bouquet of yellow flowers.,"The image has warm sunlight, soft focus, and vivid yellow flowers.",Bouquet,3.673501579
sd1.5_lowcorr_139.jpg,The image shows a scenic lake with trees and mountains under a pink and orange sky.,"The image has vibrant colors, clear reflections and distinct natural elements.",Landscape,2.874527714
DALLE2_normal_106.jpg,"The image displays a roller coaster, a striped ride, dark trees, and a mountain.","The image has vibrant colors, distinct shapes, and visible structural details.",AmusementPark,2.339014038
midjourney_normal_198.jpg,"Robotic arms line a long, bright factory corridor.","The image has clear robotic arm details, warm lighting, and reflective floor surfaces.",Automation,3.707018893
midjourney_normal_182.jpg,A female warrior wears ornate silver and gold armor with large grey wings.,"The image has sharp details, distinct colors and clear outlines of the figure.",WingedWarrior,3.541752783
DALLE2_normal_126.jpg,A partial Santa figure holds a shiny silver decoration with red details.,The image has clear details of the decoration and vivid red colors of the Santa outfit.,Decoration,2.409693201
sd1.5_highcorr_234.jpg,A metallic robot extends its hand toward the sandy ground.,"The image displays sharp details, warm tones, and distinct shadows.",Robot,2.526119865
sd1.5_highcorr_000.jpg,A bronze statue stands on a dark pedestal in a garden with green trees.,The image has clear details of the statue and distinct green trees in the background.,Statue,3.283005153
glide_normal_044.jpg,A fish rests on an orange background.,The image displays a fish with distinct scales and a prominent eye.,Fish,1.834018423
glide_normal_048.jpg,The lake reflects colorful clouds and dark hills.,"The image has vivid reflections, clear silhouettes and calm water.",Lakescape,2.630872609
sd1.5_lowcorr_225.jpg,An explosion emits bright light and red smoke.,"The image has vivid colors, bright explosion and dark background.",Explosion,2.093677968
glide_normal_274.jpg,The image shows a sunset sky with dark tree silhouettes.,"The image has dark lower areas, colorful sky hues, and tree silhouettes.",Sunset,0.402281536
DALLE2_normal_091.jpg,A round UFO emits a wide beam onto a snowy surface.,"The image has distinct lines, bold colors and clear shapes.",UFO,3.369254363
AttnGAN_normal_138.jpg,The image displays blurry brown spots on a light textured background.,"The image has soft edges, muted colors, and visible texture patterns.",Texture,0.880865797
sd1.5_highcorr_051.jpg,The wall features dense green plants and bright purple flowers.,"The image has vivid colors, clear plant details and distinct hanging elements.",Greenwall,3.645914271
sd1.5_highcorr_015.jpg,Santa Claus wears a red suit with white fur against a green snowy background.,"The image has vivid red and white colors, clear fur details, and a speckled green background.",Santa,2.717733183
glide_normal_123.jpg,A black animal with an orange ear creates a silhouette against a white background.,The image has strong contrast between the dark silhouette and the bright white background.,Silhouette,0.877850066
sd1.5_highcorr_057.jpg,Two men wearing large glasses embrace each other.,The black-and-white image shows sharp details and clear facial expressions.,Embrace,2.628129896
midjourney_lowstep_117.jpg,A woman wears a dark hood and has red lips and large horns.,"The image has vivid colors, clear facial details and distinct horns.",Demoness,3.008458905
sd1.5_lowstep_014.jpg,A spotted gecko with blue eyes rests on a brown surface.,The image shows clear details of the gecko's pattern and bright blue eyes.,Gecko,3.288125226
midjourney_lowstep_037.jpg,The image shows a woman with a spiky crown and glowing yellow eyes.,"The image has clear facial features, distinct colors, and visible details.",Witch,2.972896262
sd1.5_lowstep_220.jpg,The blue heart-shaped object features a brown tree design on a smooth brown background.,"The image has sharp clarity, vivid blue and brown colors, and clear details of the heart and tree.",Hearttree,2.90305168
sd1.5_lowcorr_116.jpg,A cyborg woman wears metallic armor against an orange background.,"The image shows sharp details, metallic textures, and a vibrant orange background.",Cyborg,2.610677849
xl2.2_normal_043.jpg,A green frog with large orange eyes wears a dark blue uniform and a black bow tie.,"The image has sharp details, vivid colors and clear textures.",Frog,3.038537814
midjourney_lowstep_092.jpg,"An older man wears a hat, glasses, and a coat.","The image has soft lighting, warm tones, and distinct facial features.",Man,3.007007681
AttnGAN_normal_170.jpg,The image displays abstract shapes and colorful patches on a light background.,"The image has soft edges, blended colors, and abstract elements.",Abstract,1.04513849
